Found NounMappings: ,,,

Reference,Name,Type,NameOrType
requests,0.05,0.4,11.2
web,1.6500000000000001,0.05,10.600000000000001
rights,0.05,0.6000000000000001,3.0
course,0.05,1.05,6.4
periods,0.05,0.2,1.0
assertion,0.05,0.05,0.8
ability,0.05,0.05,2.4
uninitialized,0.05,0.05,1.2
enviornment,0.05,0.05,1.2
product,0.05,0.05,1.2
atomicity,0.05,0.05,1.2
backdoor,1.6500000000000001,0.05,6.2
url,0.05,0.05,1.2
help,0.05,0.05,0.2
framework,0.05,0.05,1.2
entities,0.05,2.4,13.0
future,0.05,0.05,2.4
elements,0.05,0.2,1.0
report,0.05,0.05,2.4
submission,0.05,0.05,0.2
logic,57.05,0.05,27.999999999999986
entity,2.45,0.05,27.399999999999988
statistics,0.05,0.2,1.0
data,4.85,5.600000000000002,39.79999999999999
use,0.05,0.05,9.600000000000001
existence,0.05,0.05,1.2
manner,0.05,0.05,1.2
while,0.05,0.05,1.2
second,0.05,0.05,0.2
cloud,0.05,0.05,0.2
javascripts,0.05,0.05,1.5999999999999999
teammates,0.05,1.2,5.2
pages,0.05,2.8000000000000003,28.59999999999999
shows,0.05,0.4,2.0
etc,1.6500000000000001,0.05,1.2
plain,0.05,0.05,0.2
html,0.8500000000000001,0.05,3.8000000000000003
links,0.05,0.2,1.0
mechanims,0.05,0.2,1.0
all,0.8500000000000001,0.05,1.2
read,0.05,0.05,0.4
workflow,0.05,0.05,1.2
level,0.05,0.05,1.2
cascade,0.05,0.05,1.0
format,0.05,0.05,13.599999999999998
particular,0.05,0.05,2.0
steps,0.05,0.2,1.0
unit,0.05,0.45,4.0
transfer,3.25,0.05,1.7999999999999998
null,0.05,0.05,1.2
instructor,0.05,0.05,2.4
complexities,0.05,0.2,1.0
purposes,0.05,0.2,1.0
person,0.05,0.05,2.2
files,0.05,0.2,2.2
creates,0.05,0.05,1.0
problems,0.05,0.2,1.0
code,1.6500000000000001,0.05,5.2
tenth,0.05,0.05,0.2
values,0.05,0.6000000000000001,6.6000000000000005
storage,34.25,0.05,8.400000000000002
error,0.05,0.05,1.4
platform,0.05,0.05,1.2
interactions,0.0,0.2,0.0
keepexisting,0.05,0.05,4.8
gatekeeper,0.05,0.05,1.5999999999999999
general,0.05,0.05,3.0
administrator,0.05,0.05,0.2
operations,0.05,1.0,7.4
browser,1.6500000000000001,0.25,12.199999999999996
design,0.05,0.05,1.2
scripts,1.6500000000000001,0.8,6.0
delete/create,0.05,0.05,0.2
direction,0.05,0.05,0.2
process,0.05,0.05,0.2
nature,0.05,0.05,1.2
implementation,0.05,0.05,1.2
eighth,0.05,0.05,1.2
control,0.05,0.05,5.0
structure,0.05,0.05,5.2
third,0.05,0.05,0.2
response,0.05,0.05,1.2
ninth,0.05,0.05,0.2
strategy,0.05,0.05,1.2
